month,rank,title,author,primary_isbn10,dagger,publisher,weeks_on_list,genre,pages
2011-02,1,TICK TOCK,James Patterson and Michael Ledwidge,0316129186,0,"Little, Brown",3,Suspense/Thriller,448
2011-03,1,WATER FOR ELEPHANTS,Sara Gruen,None,0,Algonquin,7,Historical Fiction,352
2011-04,1,WATER FOR ELEPHANTS,Sara Gruen,None,0,Algonquin,8,Historical Fiction,352
2011-05,1,WATER FOR ELEPHANTS,Sara Gruen,None,0,Algonquin,16,Historical Fiction,352
2011-06,1,THE HELP,Kathryn Stockett,1440697663,0,Penguin Group,17,Historical Fiction,464
2011-07,1,THE HELP,Kathryn Stockett,1440697663,0,Penguin Group,21,Historical Fiction,464
2011-08,1,THE HELP,Kathryn Stockett,1440697663,0,Penguin Group,26,Historical Fiction,464
2011-09,1,THE HELP,Kathryn Stockett,1440697663,0,Penguin Group,30,Historical Fiction,464
2011-10,1,THE HELP,Kathryn Stockett,1440697663,0,Penguin Group,34,Historical Fiction,464
2011-11,1,11/22/63,Stephen King,1451627289,0,Scribner,1,Science Fiction,849
2011-12,1,THE DROP,Michael Connelly,None,0,"Little, Brown & Company",1,Mystery/Crime,496
2012-01,1,THE HELP,Kathryn Stockett,1440697663,0,Penguin Group,46,Historical Fiction,464
2012-02,1,EXTREMELY LOUD AND INCREDIBLY CLOSE,Jonathan Safran Foer,0547416210,0,Houghton Mifflin Harcourt Publishing,4,General Fiction,368
2012-03,1,FIFTY SHADES OF GREY,E L James,,0,Knopf Doubleday Publishing,2,Romance,354
2012-04,1,FIFTY SHADES OF GREY,E L James,None,0,Knopf Doubleday Publishing,7,Romance,354
2012-05,1,FIFTY SHADES OF GREY,E L James,0345803485,0,Knopf Doubleday Publishing,11,Romance,354
2012-06,1,FIFTY SHADES OF GREY,E L James,0345803485,0,Knopf Doubleday Publishing,15,Romance,354
2012-07,1,FIFTY SHADES OF GREY,E L James,None,0,Knopf Doubleday Publishing,20,Romance,354
2012-08,1,FIFTY SHADES OF GREY,E L James,0345803485,0,Knopf Doubleday Publishing,24,Romance,354
2012-09,1,FIFTY SHADES OF GREY,E L James,0345803485,0,Knopf Doubleday Publishing,28,Romance,354
2012-10,1,REFLECTED IN YOU,Sylvia Day,None,0,Penguin Group,2,Romance,352
2012-11,1,THE RACKETEER,John Grisham,0385536887,0,Knopf Doubleday Publishing,2,Suspense/Thriller,352
2012-12,1,GONE GIRL,Gillian Flynn,030758836X,0,Crown Publishing,28,Suspense/Thriller,432
2013-01,1,SAFE HAVEN,Nicholas Sparks,0446574244,0,Grand Central Publishing,6,Romance,352
2013-02,1,SAFE HAVEN,Nicholas Sparks,0446574244,0,Grand Central Publishing,11,Romance,352
2013-03,1,SAFE HAVEN,Nicholas Sparks,0446574244,0,Grand Central Publishing,12,Romance,352
2013-04,1,THE BET,Rachel Van Dyken,0989078310,0,Rachel Van Dyken,2,Romance,368
2013-05,1,WHISKEY BEACH,Nora Roberts,None,0,Putnam,1,Romance,496
2013-06,1,INFERNO,Dan Brown,0385537867,0,Doubleday,5,Suspense/Thriller,642
2013-07,1,INFERNO,Dan Brown,0385537867,0,Doubleday,8,Suspense/Thriller,642
2013-08,1,THE CUCKOO'S CALLING,Robert Galbraith,0316206865,0,"Mulholland Books/Little, Brown",3,Mystery/Crime,464
2013-09,1,THE CUCKOO'S CALLING,Robert Galbraith,0316206865,0,"Mulholland/Little, Brown",6,Mystery/Crime,464
2013-10,1,STORM FRONT,John Sandford,,0,Putnam,1,Suspense/Thriller,376
2013-11,1,SYCAMORE ROW,John Grisham,0385537921,0,Doubleday,3,Suspense/Thriller,642
2013-12,1,SYCAMORE ROW,John Grisham,0385537921,0,Doubleday,8,Suspense/Thriller,642
2014-01,1,SYCAMORE ROW,John Grisham,0385537921,0,Doubleday,11,Suspense/Thriller,642
2014-02,1,THE GOLDFINCH,Donna Tartt,,0,"Little, Brown",16,Suspense/Thriller,775
2014-03,1,CONCEALED IN DEATH,Nora Roberts,None,0,Penguin Group (USA) Incorporated,1,Mystery/Crime,384
2014-04,1,SHADOW SPELL,Nora Roberts,None,0,Berkley,1,Romance,352
2014-05,1,UNLUCKY 13,James Patterson and Maxine Paetro,0316211281,0,"Little, Brown",1,Suspense/Thriller,416
2014-06,1,UNLUCKY 13,James Patterson and Maxine Paetro,0316211281,0,"Little, Brown",2,Suspense/Thriller,416
2014-07,1,INVISIBLE,James Patterson and David Ellis,,0,"Little, Brown",2,Suspense/Thriller,416
2014-08,1,FIFTY SHADES OF GREY,E L James,None,0,Vintage,66,Romance,354
2014-09,1,OUTLANDER,Diana Gabaldon,0440335167,0,Dell,4,Historical Fiction,850
2014-10,1,GONE GIRL,Gillian Flynn,0307588386,0,Crown,98,Suspense/Thriller,432
