date,rank,title,primary_isbn10,dagger,publisher,weeks_on_list,genre,pages,author,gender,birth_year,multiple_books
2011-02,1,TICK TOCK,0316129186,0,"Little, Brown",3,Suspense/Thriller,448,James Patterson,male,1947,True
2011-02,1,TICK TOCK,0316129186,0,"Little, Brown",3,Suspense/Thriller,448,Michael Ledwidge,male,1971,True
2011-03,1,WATER FOR ELEPHANTS,None,0,Algonquin,7,Historical Fiction,352,Sara Gruen,female,1969,False
2011-04,1,WATER FOR ELEPHANTS,None,0,Algonquin,8,Historical Fiction,352,Sara Gruen,female,1969,False
2011-05,1,WATER FOR ELEPHANTS,None,0,Algonquin,16,Historical Fiction,352,Sara Gruen,female,1969,False
2011-06,1,THE HELP,1440697663,0,Penguin Group,17,Historical Fiction,464,Kathryn Stockett,female,1969,False
2011-07,1,THE HELP,1440697663,0,Penguin Group,21,Historical Fiction,464,Kathryn Stockett,female,1969,False
2011-08,1,THE HELP,1440697663,0,Penguin Group,26,Historical Fiction,464,Kathryn Stockett,female,1969,False
2011-09,1,THE HELP,1440697663,0,Penguin Group,30,Historical Fiction,464,Kathryn Stockett,female,1969,False
2011-10,1,THE HELP,1440697663,0,Penguin Group,34,Historical Fiction,464,Kathryn Stockett,female,1969,False
2011-11,1,11/22/63,1451627289,0,Scribner,1,Science Fiction,849,Stephen King,male,1947,True
2011-12,1,THE DROP,None,0,"Little, Brown & Company",1,Mystery/Crime,496,Michael Connelly,male,1956,True
2012-01,1,THE HELP,1440697663,0,Penguin Group,46,Historical Fiction,464,Kathryn Stockett,female,1969,False
2012-02,1,EXTREMELY LOUD AND INCREDIBLY CLOSE,0547416210,0,Houghton Mifflin Harcourt Publishing,4,General Fiction,368,Jonathan Safran Foer,male,1977,False
2012-03,1,FIFTY SHADES OF GREY,,0,Knopf Doubleday Publishing,2,Romance,354,E L James,female,1963,True
2012-04,1,FIFTY SHADES OF GREY,None,0,Knopf Doubleday Publishing,7,Romance,354,E L James,female,1963,True
2012-05,1,FIFTY SHADES OF GREY,0345803485,0,Knopf Doubleday Publishing,11,Romance,354,E L James,female,1963,True
2012-06,1,FIFTY SHADES OF GREY,0345803485,0,Knopf Doubleday Publishing,15,Romance,354,E L James,female,1963,True
2012-07,1,FIFTY SHADES OF GREY,None,0,Knopf Doubleday Publishing,20,Romance,354,E L James,female,1963,True
