month,rank,title,author,primary_isbn10,dagger,publisher,weeks_on_list,genre,pages
2011-02,1,TICK TOCK,James Patterson and Michael Ledwidge,0316037915,0,"Little, Brown",1,Suspense/Thriller,448
2011-03,1,ALONE,Lisa Gardner,0553901133,0,Penguin,2,Suspense/Thriller,336
2011-04,1,WATER FOR ELEPHANTS,Sara Gruen,None,0,Algonquin,8,Historical Fiction,352
2011-05,1,WATER FOR ELEPHANTS,Sara Gruen,None,0,Algonquin,12,Historical Fiction,352
2011-06,1,WATER FOR ELEPHANTS,Sara Gruen,None,0,Algonquin,17,Historical Fiction,352
2011-07,1,THE HELP,Kathryn Stockett,0425232204,0,Penguin,18,Historical Fiction,464
2011-08,1,THE HELP,Kathryn Stockett,1440697663,0,Penguin,23,Historical Fiction,464
2011-09,1,THE HELP,Kathryn Stockett,1440697663,0,Penguin,27,Historical Fiction,464
2011-10,1,THE HELP,Kathryn Stockett,1440697663,0,Penguin,31,Historical Fiction,464
2011-11,1,THE BEST OF ME,Nicholas Sparks,0446547654,0,Grand Central Publishing,2,Romance,304
2011-12,1,KILL ALEX CROSS,James Patterson,None,0,"Little, Brown",1,Suspense/Thriller,512
2012-01,1,THE GIRL WITH THE DRAGON TATTOO,Stieg Larsson,0307272117,0,Doubleday,19,Suspense/Thriller,480
2012-02,1,EXTREMELY LOUD AND INCREDIBLY CLOSE,Jonathan Safran Foer,0547416210,0,Houghton Mifflin Harcourt,3,General Fiction,368
2012-03,1,FIFTY SHADES OF GREY,E L James,0345803485,0,Doubleday,1,Romance,354
2012-04,1,FIFTY SHADES OF GREY,E L James,0345803485,0,Doubleday,3,Romance,354
2012-05,1,FIFTY SHADES OF GREY,E L James,0345803485,0,Doubleday,8,Romance,354
2012-06,1,FIFTY SHADES OF GREY,E L James,0345803485,0,Doubleday,12,Romance,354
2012-07,1,FIFTY SHADES OF GREY,E L James,0345803485,0,Doubleday,16,Romance,354
2012-08,1,FIFTY SHADES OF GREY,E L James,0345803485,0,Doubleday,21,Romance,354
2012-09,1,FIFTY SHADES OF GREY,E L James,0345803485,0,Doubleday,25,Romance,354
2012-10,1,REFLECTED IN YOU,Sylvia Day,None,0,Penguin,1,Romance,352
2012-11,1,THE RACKETEER,John Grisham,0385536887,0,Doubleday,1,Suspense/Thriller,352
2012-12,1,THE LAST MAN,Vince Flynn,1439100535,0,Simon & Schuster,1,Suspense/Thriller,448
2013-01,1,SAFE HAVEN,Nicholas Sparks,0446574244,0,Grand Central Publishing,5,Romance,352
2013-02,1,SAFE HAVEN,Nicholas Sparks,0446574244,0,Grand Central Publishing,8,Romance,352
2013-03,1,"ALEX CROSS, RUN",James Patterson,0316097527,0,"Little, Brown",1,Suspense/Thriller,407
2013-04,1,SIX YEARS,Harlan Coben,None,0,Penguin,1,Suspense/Thriller,464
2013-05,1,WHISKEY BEACH,Nora Roberts,None,0,Putnam,1,Romance,496
2013-06,1,INFERNO,Dan Brown,0385537867,0,Doubleday,1,Suspense/Thriller,642
2013-07,1,INFERNO,Dan Brown,0385537867,0,Doubleday,6,Suspense/Thriller,642
2013-08,1,THE CUCKOO'S CALLING,Robert Galbraith,0316206865,0,"Little, Brown",1,Mystery/Crime,464
2013-09,1,THE CUCKOO'S CALLING,Robert Galbraith,0316206865,0,"Little, Brown",5,Mystery/Crime,464
2013-10,1,THE LONGEST RIDE,Nicholas Sparks,1455520667,0,Grand Central,1,Romance,568
2013-11,1,SYCAMORE ROW,John Grisham,0385537921,0,Doubleday,1,Suspense/Thriller,642
2013-12,1,SYCAMORE ROW,John Grisham,0385537921,0,Doubleday,4,Suspense/Thriller,642
2014-01,1,SYCAMORE ROW,John Grisham,0385537131,0,Doubleday,9,Suspense/Thriller,642
2014-02,1,THE GOLDFINCH,Donna Tartt,0349139630,0,"Little, Brown",13,Suspense/Thriller,775
2014-03,1,PRIVATE L.A.,James Patterson and Mark Sullivan,0316211117,0,"Little, Brown",1,Suspense/Thriller,448
2014-04,1,MISSING YOU,Harlan Coben,0698148630,0,Dutton,1,Suspense/Thriller,480
2014-05,1,THE TARGET,David Baldacci,145552123X,0,Grand Central,1,Suspense/Thriller,592
2014-06,1,UNLUCKY 13,James Patterson and Maxine Paetro,0316211281,0,"Little, Brown",2,Suspense/Thriller,416
2014-07,1,INVISIBLE,James Patterson and David Ellis,,0,"Little, Brown",1,Suspense/Thriller,416
2014-08,1,OUTLANDER,Diana Gabaldon,0440335167,0,Dell,2,Historical Fiction,850
2014-09,1,OUTLANDER,Diana Gabaldon,0440335167,0,Dell,4,Historical Fiction,850
2014-10,1,GONE GIRL,Gillian Flynn,0307588386,0,Crown,96,Suspense/Thriller,432
2014-11,1,GONE GIRL,Gillian Flynn,0307588386,0,Crown,99,Suspense/Thriller,432
2014-12,1,CAPTIVATED BY YOU,Sylvia Day,None,0,Berkley,1,Romance,360
2015-01,1,ALL THE LIGHT WE CANNOT SEE,Anthony Doerr,,0,Scribner,16,Historical Fiction,544
2015-02,1,THE GIRL ON THE TRAIN,Paula Hawkins,0698185390,0,Riverhead,1,Suspense/Thriller,320
2015-03,1,THE GIRL ON THE TRAIN,Paula Hawkins,0698185390,0,Riverhead,5,Suspense/Thriller,320
2015-04,1,THE GIRL ON THE TRAIN,Paula Hawkins,0698185390,0,Riverhead,10,Suspense/Thriller,320
2015-05,1,THE LIAR,Nora Roberts,None,0,Putnam,1,Romance,512
2015-06,1,THE GIRL ON THE TRAIN,Paula Hawkins,0698185390,0,Riverhead,19,Suspense/Thriller,320
2015-07,1,GREY,E L James,1101946350,0,Vintage,1,Romance,640
2015-08,1,GO SET A WATCHMAN,Harper Lee,0062409859,0,Harper,1,Historical Fiction,288
2015-09,1,FRICTION,Sandra Brown,1455581178,0,Grand Central,1,Romance,480
2015-10,1,THE MARTIAN,Andy Weir,None,0,Crown,17,Science Fiction,416
2015-11,1,ROGUE LAWYER,John Grisham,0385539444,0,Doubleday,1,Suspense/Thriller,352
2015-12,1,THE NIGHTINGALE,Kristin Hannah,1466850604,0,St. Martin's,32,Historical Fiction,608
2016-01,1,THE GIRL ON THE TRAIN,Paula Hawkins,1594634025,0,Riverhead,49,Suspense/Thriller,320
2016-02,1,BLUE,Danielle Steel,None,0,Delacorte,1,Romance,416
2016-03,1,COMETH THE HOUR,Jeffrey Archer,1466867507,0,St. Martin's,1,Historical Fiction,416
2016-04,1,FOOL ME ONCE,Harlan Coben,0698404173,0,Dutton,1,Suspense/Thriller,400
2016-05,1,THE OBSESSION,Nora Roberts,0698197003,0,Berkley,1,Romance,464
2016-06,1,ME BEFORE YOU,Jojo Moyes,,0,Penguin,16,Romance,480
2016-07,1,ME BEFORE YOU,Jojo Moyes,0143130153,0,Penguin,21,Romance,480
2016-08,1,THE GIRL ON THE TRAIN,Paula Hawkins,1594634025,0,Riverhead,74,Suspense/Thriller,320
2016-09,1,THE GIRL ON THE TRAIN,Paula Hawkins,1594634025,0,Riverhead,78,Suspense/Thriller,320
2016-10,1,THE GIRL ON THE TRAIN,Paula Hawkins,1594634025,0,Riverhead,82,Suspense/Thriller,320
2016-11,1,ESCAPE CLAUSE,John Sandford,None,0,Putnam,1,Suspense/Thriller,400
2016-12,1,TURBO TWENTY-THREE,Janet Evanovich,0345543025,0,Bantam,1,Suspense/Thriller,344
2017-01,1,THE WHISTLER,John Grisham,0385541198,0,Doubleday,8,Suspense/Thriller,432
2017-02,1,NEVER NEVER,James Patterson and Candice Fox,0316434728,0,"Little, Brown",1,Suspense/Thriller,400
2017-03,1,THE SHACK,William P Young,0964729296,0,Windblown Media,5,Suspense/Thriller,256
2017-04,1,THE BLACK BOOK,James Patterson and David Ellis,0316464147,0,"Little, Brown",1,Suspense/Thriller,448
2017-05,1,THE FIX,David Baldacci,1455586552,0,Grand Central,1,Suspense/Thriller,480
2017-06,1,INTO THE WATER,Paula Hawkins,0735211205,0,Riverhead,3,Suspense/Thriller,400
2017-07,1,CAMINO ISLAND,John Grisham,0385543026,0,Doubleday,2,Suspense/Thriller,304
2017-08,1,THE LATE SHOW,Michael Connelly,0316225975,0,"Little, Brown",1,Suspense/Thriller
2017-09,1,SEEING RED,Sandra Brown,1455572071,0,Grand Central,1,Suspense/Thriller
2017-10,1,ORIGIN,Dan Brown,0385542690,0,Doubleday,1,Suspense/Thriller,461
2017-11,1,ORIGIN,Dan Brown,0385514239,0,Doubleday,3,Suspense/Thriller,461
2017-12,1,THE ROOSTER BAR,John Grisham,0385541171,0,Doubleday,1,Suspense/Thriller,368
2018-01,1,THE WOMAN IN THE WINDOW,A.J. Finn,0062678418,0,Morrow,1,Suspense/Thriller,608
2018-02,1,CITY OF ENDLESS NIGHT,Douglas Preston and Lincoln Child,145553692X,0,Grand Central,1,Suspense/Thriller,368
2018-03,1,THE GREAT ALONE,Kristin Hannah,0312577230,0,St. Martin's,2,Historical Fiction,440
2018-04,1,THE RISING SEA,Clive Cussler and Graham Brown,0735215545,0,Putnam,1,Action/Adventure,406
2018-05,1,THE 17TH SUSPECT,James Patterson and Maxine Paetro,0316412260,0,"Little, Brown",1,Suspense/Thriller,368
2018-06,1,THE CAST,Danielle Steel,1101884045,0,Delacorte,1,Romance,352
2018-07,1,THE PRESIDENT IS MISSING,James Patterson and Bill Clinton,1780898401,0,"Little, Brown",2,Suspense/Thriller,513
2018-08,1,ORIGIN,Dan Brown,0525563709,0,Doubleday,22,Suspense/Thriller,461
2018-09,1,CRAZY RICH ASIANS,Kevin Kwan,0345803787,0,Anchor,10,Romance,576
